"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"322","San Diego Padres","mlb","#002d62","#fec325","#7f411c","#a0aab2","NL West","San Diego","Padres","San Diego Padres","http://content.sportslogos.net/logos/54/73/thumbs/7375172020.gif"
"323","San Diego State Aztecs","ncaa","#A6192E","#000000","#FFFFFF",NA,"MWC","San Diego State","Aztecs","San Diego State Aztecs","http://content.sportslogos.net/logos/34/826/thumbs/82676662013.gif"
"324","San Diego Toreros","ncaa","#002868","#84BCE8","#207BC1",NA,"WCC","San Diego","Toreros","San Diego Toreros","http://content.sportslogos.net/logos/34/825/thumbs/smgecw5seeb2a282cs79z64oo.gif"
"325","San Francisco 49ers","nfl","#aa0000","#b3995d","#000000","#a5acaf","NFC West","San Francisco","49ers","San Francisco 49ers","http://content.sportslogos.net/logos/7/179/thumbs/17994552009.gif"
"326","San Francisco Dons","ncaa","#FDBB30","#00543C","#919194",NA,"WCC","San Francisco","Dons","San Francisco Dons","http://content.sportslogos.net/logos/34/827/thumbs/82715532012.gif"
"327","San Francisco Giants","mlb","#fd5a1e","#000000","#8b6f4e",NA,"NL West","San Francisco","Giants","San Francisco Giants","http://content.sportslogos.net/logos/54/74/thumbs/cpqj6up5bvgpoedg5fwsk20ve.gif"
"328","San Jose Earthquakes","mls","#0051ba","#000000","#b1b4b2",NA,NA,"San Jose","Earthquakes","San Jose Earthquakes","http://content.sportslogos.net/logos/9/332/thumbs/33279522014.gif"
"329","San Jose Sharks","nhl","#010101","#e57200","#006272",NA,"Pacific","San Jose","Sharks","San Jose Sharks","http://content.sportslogos.net/logos/1/26/thumbs/dmo1xf3z4pph27vmg3gf.gif"
"330","San Jose State Spartans","ncaa","#0055A2","#E5A823","#939597",NA,"MWC","San Jose State","Spartans","San Jose State Spartans","http://content.sportslogos.net/logos/34/828/thumbs/2616.gif"
"331","Santa Clara Broncos","ncaa","#862633","#FFFFFF",NA,NA,"WCC","Santa Clara","Broncos","Santa Clara Broncos","http://content.sportslogos.net/logos/34/829/thumbs/9bevh7phseg5k885k8ngg09e5.gif"
"332","Seattle Mariners","mlb","#0c2c56","#005c5c","#c4ced4",NA,"AL West","Seattle","Mariners","Seattle Mariners","http://content.sportslogos.net/logos/53/75/thumbs/1305.gif"
"333","Seattle Seahawks","nfl","#002244","#69be28","#a5acaf","#001532","NFC West","Seattle","Seahawks","Seattle Seahawks","http://content.sportslogos.net/logos/7/180/thumbs/pfiobtreaq7j0pzvadktsc6jv.gif"
"334","Seattle Sounders FC","mls","#4f8a10","#11568c","#212930",NA,NA,"Seattle","Sounders FC","Seattle Sounders FC","http://content.sportslogos.net/logos/9/2760/thumbs/2xkgg8fsj5zgywdhx5in779ed.gif"
"335","Seattle Storm","wnba","#FBE122","#2C5234","#A2AAAD",NA,"Western","Seattle","Storm","Seattle Storm","http://content.sportslogos.net/logos/16/318/thumbs/31835802016.gif"
"336","Seattle U","ncaa","#AA0000","#333333",NA,NA,"WAC","Seattle","U","Seattle Redhawks","http://content.sportslogos.net/logos/34/5052/thumbs/505217542008.gif"
"337","Seton Hall Pirates","ncaa","#004488","#A2AAAD",NA,NA,"Big East","Seton Hall","Pirates","Seton Hall Pirates","http://content.sportslogos.net/logos/34/831/thumbs/83191832009.gif"
"338","Siena","ncaa","#FFC72C","#C8102E","#006747","#693F23","MAAC","Siena",NA,"Siena Saints","http://content.sportslogos.net/logos/34/832/thumbs/3336kgxl1jzfvrzh423fldmyo.gif"
"339","Sky Blue FC","nwsl","#193368","#ED871F","#FFFFFF",NA,NA,"Sky","Blue FC","Sky Blue FC","http://content.sportslogos.net/logos/202/5861/thumbs/586193562013.gif"
"340","South Alabama Jaguars","ncaa","#00205B","#BF0D3E",NA,NA,"Sunbelt","South Alabama","Jaguars","South Alabama Jaguars","http://content.sportslogos.net/logos/34/833/thumbs/f0escusps8d57q2gf0bpy1otm.gif"
"341","South Carolina Gamecocks","ncaa","#73000A","#000000",NA,NA,"SEC","South Carolina","Gamecocks","South Carolina Gamecocks","http://content.sportslogos.net/logos/34/834/thumbs/5gje9m4b1shmcd442rkpxkeb8.gif"
"342","South Dakota Coyotes","ncaa","#AD0000","#B4B4B4","#000000",NA,"Summit","South Dakota","Coyotes","South Dakota Coyotes","http://content.sportslogos.net/logos/34/5037/thumbs/503737322011.gif"
"343","South Dakota State Jackrabbits","ncaa","#0033A0","#FFD100",NA,NA,"Summit","South Dakota State","Jackrabbits","South Dakota State Jackrabbits","http://content.sportslogos.net/logos/34/836/thumbs/rx5rkctzeni2o4nxdsl4ftgw9.gif"
"344","South Florida Bulls","ncaa","#006747","#CFC493",NA,NA,"AAC","South Florida","Bulls","South Florida Bulls","http://content.sportslogos.net/logos/34/837/thumbs/l3qg5gf3wu3cdrgvpee4.gif"
"345","Southampton","epl","#ed1a3b","#211e1f","#ffc20e",NA,NA,"Southampton",NA,"Southampton",NA
"346","Southern California Trojans","ncaa","#FFC72C","#990000","#FFC72C",NA,"Pac 12","Southern California","Trojans","Southern California Trojans","http://content.sportslogos.net/logos/34/840/thumbs/84098311993.gif"
"347","Southern Illinois","ncaa","#720000","#000000",NA,NA,"MVC","Southern Illinois",NA,"Southern Illinois Salukis","http://content.sportslogos.net/logos/34/841/thumbs/84134702019.gif"
"348","Southern Mississippi Golden Eagles","ncaa","#000000","#FFAB00",NA,NA,"C-USA","Southern Mississippi","Golden Eagles","Southern Miss Golden Eagles","http://content.sportslogos.net/logos/34/843/thumbs/84360242015.gif"
"349","Southern Utah Thunderbirds","ncaa","#000000","#FFFFFF",NA,NA,"Big Sky","Southern Utah","Thunderbirds","Southern Utah Thunderbirds","http://content.sportslogos.net/logos/34/844/thumbs/2636.gif"
"350","Sporting Kansas City","mls","#91b0d5","#002b5c","#9fa1a4","#989891",NA,"Sporting","Kansas_City","Sporting Kansas City","http://content.sportslogos.net/logos/9/2834/thumbs/hzgsk662crxwpeffygd9vazda.gif"
"351","St. Louis Blues","nhl","#041e42","#ffb81c","#003087",NA,"Central","St. Louis","Blues","St. Louis Blues","http://content.sportslogos.net/logos/1/25/thumbs/187.gif"
"352","St. Louis Cardinals","mlb","#c41e3a","#000066","#fedb00",NA,"NL Central","St. Louis","Cardinals","St. Louis Cardinals","http://content.sportslogos.net/logos/54/72/thumbs/3zhma0aeq17tktge1huh7yok5.gif"
"353","Stanford Cardinal","ncaa","#8C1515","#FFFFFF","#4D4F53","#2E2D29","Pac 12","Stanford","Cardinal","Stanford Cardinal","http://content.sportslogos.net/logos/34/854/thumbs/85448032014.gif"
"354","Stetson Hatters","ncaa","#006747","#B58150","#9E652E","#000000","A-Sun","Stetson","Hatters","Stetson Hatters","http://content.sportslogos.net/logos/34/857/thumbs/85710302018.gif"
"355","Stoke City","epl","#e03a3e","#1b449c",NA,NA,NA,"Stoke City",NA,"Stoke City",NA
"356","Stony Brook Seawolves","ncaa","#990000","#16243E","#828282",NA,"Am. East","Stony Brook","Seawolves","Stony Brook Seawolves","http://content.sportslogos.net/logos/34/858/thumbs/yte6uhknhdffvqnowffl62jy1.gif"
"357","Swansea City","epl","#000000",NA,NA,NA,NA,"Swansea City",NA,"Swansea City",NA
"358","Syracuse Orange","ncaa","#D44500","#3E3D3C","#6F777D","#ADB3B8","ACC","Syracuse","Orange","Syracuse Orange","http://content.sportslogos.net/logos/34/859/thumbs/lhf2fxwjfmysj71nzmqw.gif"
"359","Tampa Bay Buccaneers","nfl","#d50a0a","#34302b","#000000","#ff7900","NFC South","Tampa Bay","Buccaneers","Tampa Bay Buccaneers","http://content.sportslogos.net/logos/7/176/thumbs/17636702014.gif"
"360","Tampa Bay Lightning","nhl","#00205b",NA,NA,NA,"Atlantic","Tampa Bay","Lightning","Tampa Bay Lightning","http://content.sportslogos.net/logos/1/27/thumbs/97hhvk8e5if0riesnex30etgz.gif"
"361","Tampa Bay Rays","mlb","#092c5c","#8fbce6","#f5d130",NA,"AL East","Tampa Bay","Rays","Tampa Bay Rays","http://content.sportslogos.net/logos/53/2535/thumbs/253594482019.gif"
"362","TCU","ncaa","#4D1979","#A3A9AC","#FFFFFF",NA,"Big 12","TCU",NA,"TCU Horned Frogs","http://content.sportslogos.net/logos/34/868/thumbs/2658.gif"
"363","Temple Owls","ncaa","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","AAC","Temple","Owls","Temple Owls","http://content.sportslogos.net/logos/34/860/thumbs/2648.gif"
"364","Tennessee Titans","nfl","#002244","#4b92db","#c60c30","#a5acaf","AFC South","Tennessee","Titans","Tennessee Titans","http://content.sportslogos.net/logos/7/160/thumbs/1053.gif"
"365","Tennessee Volunteers","ncaa","#FF8200","#58595B","#FFFFFF",NA,"SEC","Tennessee","Volunteers","Tennessee Volunteers","http://content.sportslogos.net/logos/34/861/thumbs/86166262015.gif"
"366","Texas","ncaa","#BF5700","#333F48","#FFFFFF",NA,"Big 12","Texas",NA,"Texas Longhorns","http://content.sportslogos.net/logos/34/865/thumbs/5o2wuto6hq2592hhy9e4prm6e.gif"
"367","Texas A&M Aggies","ncaa","#500000","#FFFFFF",NA,NA,"SEC","Texas A&M","Aggies","Texas A&M Aggies","http://content.sportslogos.net/logos/34/866/thumbs/86674172007.gif"
"368","Texas Rangers","mlb","#c0111f","#003278",NA,NA,"AL West","Texas","Rangers","Texas Rangers","http://content.sportslogos.net/logos/53/77/thumbs/ajfeh4oqeealq37er15r3673h.gif"
"369","Texas State Bobcats","ncaa","#501214","#8D734A",NA,NA,"Sunbelt","Texas State","Bobcats","Texas State Bobcats","http://content.sportslogos.net/logos/34/847/thumbs/hfiohfg4thrpxlb9r8o2qkuee.gif"
"370","Texas Tech Red Raiders","ncaa","#CC0000","#000000","#FFFFFF",NA,"Big 12","Texas Tech","Red Raiders","Texas Tech Red Raiders","http://content.sportslogos.net/logos/34/870/thumbs/4661.gif"
"371","Toledo Rockets","ncaa","#15397F","#005CB9","#FFDA00","#BEC6C3","MAC","Toledo","Rockets","Toledo Rockets","http://content.sportslogos.net/logos/34/874/thumbs/87490502017.gif"
"372","Toronto Blue Jays","mlb","#134a8e","#1d2d5c","#e8291c",NA,"AL East","Toronto","Blue Jays","Toronto Blue Jays","http://content.sportslogos.net/logos/53/78/thumbs/2559d7603ouedg7ldhw0br4fn.gif"
"373","Toronto FC","mls","#d80016","#313f49","#a1aaad",NA,NA,"Toronto","FC","Toronto FC","http://content.sportslogos.net/logos/9/1249/thumbs/0gfaomjubvw58whdep6w.gif"
"374","Toronto Maple Leafs","nhl","#00205b",NA,NA,NA,"Atlantic","Toronto","Maple Leafs","Toronto Maple Leafs","http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif"
"375","Toronto Raptors","nba","#ce1141","#061922","#a1a1a4","#b4975a","Atlantic","Toronto","Raptors","Toronto Raptors","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif"
"376","Tottenham Hotspur","epl","#001c58",NA,NA,NA,NA,"Tottenham","Hotspur","Tottenham Hotspur",NA
"377","Tulane Green Wave","ncaa","#006747","#43B02A","#418FDE","#000000","AAC","Tulane","Green Wave","Tulane Green Wave","http://content.sportslogos.net/logos/34/877/thumbs/87736922014.gif"
"378","Tulsa Golden Hurricane","ncaa","#002D72","#C8102E","#C5B783","#F3D54E","AAC","Tulsa","Golden Hurricane","Tulsa Golden Hurricane","http://content.sportslogos.net/logos/34/878/thumbs/2669.gif"
"379","UAB","ncaa","#006341","#CC8A00","#000000","#BF0D3E","C-USA","UAB",NA,"UAB Blazers","http://content.sportslogos.net/logos/35/879/thumbs/87915182015.gif"
"380","UC Davis","ncaa","#002855","#B3A369",NA,NA,"Big West","UC","Davis","California Davis Aggies","http://content.sportslogos.net/logos/30/1831/thumbs/183182572001.gif"
"381","UC Irvine","ncaa","#0C2340","#FFC72C",NA,NA,"Big West","UC","Irvine","California-Irvine Anteaters","http://content.sportslogos.net/logos/30/880/thumbs/88023612014.gif"
"382","UC Riverside","ncaa","#2D6CC0","#003066","#F1AB00","#7A6E67","Big West","UC","Riverside","California Riverside Highlanders","http://content.sportslogos.net/logos/30/881/thumbs/88153882012.gif"
"383","UCLA","ncaa","#2D68C4","#F2A900","#3284BF","#FFE800","Pac 12","UCLA",NA,"UCLA Bruins","http://content.sportslogos.net/logos/35/882/thumbs/f14dh4p8ot36v1exxoazhf03a.gif"
"384","UIC","ncaa","#AC1E2D","#041E42","#FACC09",NA,"Horizon","UIC",NA,"Illinois-Chicago Flames","http://content.sportslogos.net/logos/32/708/thumbs/70899032008.gif"
"385","UMass Lowell","ncaa","#003DA5","#C8102E",NA,NA,"Am. East","UMass Lowell",NA,"UMass Lowell River Hawks","http://content.sportslogos.net/logos/35/5023/thumbs/502396112010.gif"
"386","UMBC","ncaa","#B18906","#FFC20E","#000000","#ED1C24","Am. East","UMBC",NA,"UMBC Retrievers","http://content.sportslogos.net/logos/35/885/thumbs/88553842010.gif"
"387","UMKC","ncaa","#005293","#FECB00","#000000","#DCDDDE","WAC","UMKC",NA,"UMKC Kangaroos","http://content.sportslogos.net/logos/35/886/thumbs/88685772008.gif"
"388","UNI","ncaa","#4B116F","#FFCC00",NA,NA,"MVC","UNI",NA,"Northern Iowa Panthers","http://content.sportslogos.net/logos/33/786/thumbs/78667682015.gif"
"389","UNLV","ncaa","#B10202","#666666","#000000",NA,"MWC","UNLV",NA,"UNLV Rebels","http://content.sportslogos.net/logos/35/888/thumbs/1g4meeffhnmghxfdv57f.gif"
"390","USC Upstate","ncaa","#00703C","#000000",NA,NA,"Big South","USC Upstate",NA,"USC Upstate Spartans","http://content.sportslogos.net/logos/35/4948/thumbs/494849312011.gif"
"391","UT Arlington","ncaa","#F58025","#0064B1",NA,NA,"Sunbelt","UT","Arlington","Texas-Arlington Mavericks","http://content.sportslogos.net/logos/34/871/thumbs/87190202007.gif"
"392","Utah Jazz","nba","#002b5c","#f9a01b","#00471b","#bec0c2","Northwest","Utah","Jazz","Utah Jazz","http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif"
"393","Utah Royals FC","nwsl","#FFB81C","#001E62","#9D2235",NA,NA,"Utah","Royals FC","Utah Royals FC","http://content.sportslogos.net/logos/202/6574/thumbs/657467452018.gif"
"394","Utah State Aggies","ncaa","#0F2439","#FFFFFF","#9D968D","#000000","MWC","Utah State","Aggies","Utah State Aggies","http://content.sportslogos.net/logos/35/893/thumbs/fexosti2ekonhhvpjlq0gvyhn.gif"
"395","Utah Utes","ncaa","#CC0000","#808080","#000000",NA,"Pac 12","Utah","Utes","Utah Utes","http://content.sportslogos.net/logos/35/892/thumbs/f59mntuxy6z31v0gapgueoyg2.gif"
"396","Utah Valley Wolverines","ncaa","#275D38","#000000","#8E8C89",NA,"WAC","Utah Valley","Wolverines","Utah Valley Wolverines","http://content.sportslogos.net/logos/35/2606/thumbs/260642032013.gif"
"397","UTEP","ncaa","#FF8200","#041E42","#B1B3B3",NA,"C-USA","UTEP",NA,"UTEP Miners","http://content.sportslogos.net/logos/35/889/thumbs/2711.gif"
"398","UTRGV","ncaa","#FFA300","#F05023","#00843D","#0C2340","WAC","UTRGV",NA,"UTRGV Vaqueros","http://content.sportslogos.net/logos/35/5639/thumbs/563963612015.gif"
"399","UTSA","ncaa","#F15A22","#0C2340",NA,NA,"C-USA","UTSA",NA,"Texas-SA Roadrunners","http://content.sportslogos.net/logos/34/890/thumbs/8w7wa2e7efz3h7g9m98ja3idd.gif"
"400","Valparaiso Crusaders","ncaa","#381E0E","#613318","#FFCC00",NA,"MVC","Valparaiso","Crusaders","Valparaiso Crusaders","http://content.sportslogos.net/logos/35/894/thumbs/89418392011.gif"
"401","Vancouver Canucks","nhl","#00205b","#97999b","#041c2c",NA,"Pacific","Vancouver","Canucks","Vancouver Canucks","http://content.sportslogos.net/logos/1/29/thumbs/2920842020.gif"
"402","Vancouver Whitecaps FC","mls","#12264c","#85b7ea","#838383",NA,NA,"Vancouver","Whitecaps FC","Vancouver Whitecaps FC","http://content.sportslogos.net/logos/9/2835/thumbs/vk6eh75qeug9nejz5g4k1evlo.gif"
"403","Vanderbilt Commodores","ncaa","#000000","#866D4B",NA,NA,"SEC","Vanderbilt","Commodores","Vanderbilt Commodores","http://content.sportslogos.net/logos/35/895/thumbs/oz59klw60uzer5pralxhznrl1.gif"
"404","VCU","ncaa","#FFB300","#000000",NA,NA,"A-10","VCU",NA,"Virginia Commonwealth Rams","http://content.sportslogos.net/logos/35/899/thumbs/89973792014.gif"
"405","Vegas Golden Knights","nhl","#010101","#b4975a","#333f42",NA,"Pacific","Vegas","Golden Knights","Vegas Golden Knights","http://content.sportslogos.net/logos/1/6114/thumbs/611426842018.gif"
"406","Vermont Catamounts","ncaa","#154734","#8B5B29","#FFC72C","#C6AA76","Am. East","Vermont","Catamounts","Vermont Catamounts","http://content.sportslogos.net/logos/35/896/thumbs/ee4ske40eafxpaaeiexfegdf1.gif"
"407","Villanova Wildcats","ncaa","#00205B","#13B5EA","#8B634B",NA,"Big East","Villanova","Wildcats","Villanova Wildcats","http://content.sportslogos.net/logos/35/897/thumbs/a28cvg370vfg03yepefh.gif"
"408","Virginia Cavaliers","ncaa","#232D4B","#F84C1E","#FFFFFF",NA,"ACC","Virginia","Cavaliers","Virginia Cavaliers","http://content.sportslogos.net/logos/35/898/thumbs/7135.gif"
"409","Virginia Tech Hokies","ncaa","#630031","#CF4420",NA,NA,"ACC","Virginia Tech","Hokies","Virginia Tech Hokies","http://content.sportslogos.net/logos/35/901/thumbs/gabem67h4rb7golayyr7qsole.gif"
"410","Wake Forest Demon Deacons","ncaa","#A67F31","#000000",NA,NA,"ACC","Wake Forest","Demon Deacons","Wake Forest Demon Deacons","http://content.sportslogos.net/logos/35/903/thumbs/90361392007.gif"
"411","Washington Capitals","nhl","#041e42","#a2aaad","#782f40","#a6192e","Metropolitan","Washington","Capitals","Washington Capitals","http://content.sportslogos.net/logos/1/30/thumbs/llrs2zxi127vkqgcsvfb.gif"
"412","Washington Huskies","ncaa","#4B2E83","#B7A57A","#85754D",NA,"Pac 12","Washington","Huskies","Washington Huskies","http://content.sportslogos.net/logos/35/904/thumbs/yookgal4j29r36rx6fz3jug2p.gif"
"413","Washington Mystics","wnba","#0C2340","#C8102E","#8A8D8F",NA,"Eastern","Washington","Mystics","Washington Mystics","http://content.sportslogos.net/logos/16/313/thumbs/s2waafa0o37v15rn5bfrxfrys.gif"
"414","Washington Nationals","mlb","#ab0003","#11225b",NA,NA,"NL East","Washington","Nationals","Washington Nationals","http://content.sportslogos.net/logos/54/578/thumbs/rcehah9k0kekjkgzm077fflws.gif"
"415","Washington Redskins","nfl","#773141","#ffb612","#000000","#5b2b2f","NFC East","Washington","Redskins","Washington Redskins","http://content.sportslogos.net/logos/7/168/thumbs/im5xz2q9bjbg44xep08bf5czq.gif"
"416","Washington Spirit","nwsl","#0A1E2C","#C2002F","#BCBBB9",NA,NA,"Washington","Spirit","Washington Spirit","http://content.sportslogos.net/logos/202/5862/thumbs/586286502013.gif"
"417","Washington State Cougars","ncaa","#981E32","#5E6A71",NA,NA,"Pac 12","Washington State","Cougars","Washington State Cougars","http://content.sportslogos.net/logos/35/905/thumbs/2724.gif"
"418","Washington Wizards","nba","#002b5c","#e31837","#c4ced4",NA,"Southeast","Washington","Wizards","Washington Wizards","http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif"
"419","Watford","epl","#fbee23","#ed2127","#000000",NA,NA,"Watford",NA,"Watford",NA
"420","Weber State Wildcats","ncaa","#A1A1A4","#130C0E",NA,NA,"Big Sky","Weber State","Wildcats","Weber State Wildcats","http://content.sportslogos.net/logos/35/906/thumbs/zeuci9b1audg30shh2h2hjsqx.gif"
"421","West Bromwich Albion","epl","#091453",NA,NA,NA,NA,"West Bromwich","Albion","West Bromwich Albion",NA
"422","West Ham United","epl","#60223b","#f7c240","#5299c6",NA,NA,"West Ham","United","West Ham United",NA
"423","West Virginia Mountaineers","ncaa","#002855","#EAAA00",NA,NA,"Big 12","West Virginia","Mountaineers","West Virginia Mountaineers","http://content.sportslogos.net/logos/35/907/thumbs/90726501980.gif"
"424","Western Illinois Leathernecks","ncaa","#663399","#FFCC00",NA,NA,"Summit","Western Illinois","Leathernecks","Western Illinois Leathernecks","http://content.sportslogos.net/logos/35/908/thumbs/90857672007.gif"
"425","Western Kentucky Hilltoppers","ncaa","#C60C30","#1E1E1E","#A2A4A3",NA,"C-USA","Western Kentucky","Hilltoppers","Western Kentucky Hilltoppers","http://content.sportslogos.net/logos/35/909/thumbs/45vahaduw2h85i3nqehdgn7xq.gif"
"426","Western Michigan Broncos","ncaa","#6C4023","#B5A167","#AAA8AA","#000000","MAC","Western Michigan","Broncos","Western Michigan Broncos","http://content.sportslogos.net/logos/35/910/thumbs/91055312016.gif"
"427","Wichita State Shockers","ncaa","#FFCD00","#000000",NA,NA,"AAC","Wichita State","Shockers","Wichita State Shockers","http://content.sportslogos.net/logos/35/911/thumbs/91127002010.gif"
"428","Winnipeg Jets","nhl","#041e42","#c8102e",NA,NA,"Central","Winnipeg","Jets","Winnipeg Jets","http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif"
"429","Wisconsin","ncaa","#C5050C","#FFFFFF","#9B0000",NA,"Big 10","Wisconsin",NA,"Wisconsin Badgers","http://content.sportslogos.net/logos/35/914/thumbs/ydl01hfj8hw4p1mbg1zd.gif"
"430","Wright State Raiders","ncaa","#026937","#CEA052","#FFE1A5","#DE6328","Horizon","Wright State","Raiders","Wright State Raiders","http://content.sportslogos.net/logos/35/917/thumbs/gx97sijmyh5sbe3npiigpf3ne.gif"
"431","Wyoming Cowboys","ncaa","#FFC425","#492F24",NA,NA,"MWC","Wyoming","Cowboys","Wyoming Cowboys","http://content.sportslogos.net/logos/35/918/thumbs/hub2luegxli9ec81hx65b50hg.gif"
"432","Xavier Musketeers","ncaa","#0C2340","#9EA2A2","#0099CC",NA,"Big East","Xavier","Musketeers","Xavier Musketeers","http://content.sportslogos.net/logos/35/919/thumbs/xgodx5ewp41q2fp38jsy.gif"
"433","Yale Bulldogs","ncaa","#00356B","#FFFFFF",NA,NA,"Ivy","Yale","Bulldogs","Yale Bulldogs","http://content.sportslogos.net/logos/35/920/thumbs/92040811998.gif"
"434","Youngstown State Penguins","ncaa","#C8102E","#F3D54E",NA,NA,"Horizon","Youngstown State","Penguins","Youngstown State Penguins","http://content.sportslogos.net/logos/35/921/thumbs/92174472006.gif"
